SNG11-测试工程师（深圳）,深圳,招聘人数：1人,工作职责：负责腾讯云数字广东项目的安全产品上线测试工作；制定测试计划，设计和执行测试用例；进行缺陷跟踪和软件质量分析，保障和提升软件质量。,工作要求：计算机本科以上相关专业2年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业27年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMG097-运营开发高级工程师（深圳）,深圳,招聘人数：3人,工作职责：负责智能运维平台的设计和开发工作；负责基础平台子系统：监控系统，数据上报，计算集群，agent，容量调度 等系统的设计和开发工作。,工作要求：计算机本科以上相关专业28年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业29年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503-社交娱乐场景算法研究组组长（上海）,上海,招聘人数：1人,工作职责：负责社交娱乐场景下人脸检测配准跟踪、3D人脸重建、人脸手势跟踪识别等算法研发以及对应算法在实际解决方案和场景中的适配和应用落地；负责对应研究团队的日常管理工作以及和基础研究团队、工程落地团队、客户团队的合作对接。,工作要求：计算机本科以上相关专业30年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业31年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503-优图AI交付架构师(上海）,上海,招聘人数：2人,工作职责：负责优图对外项目的实施交付工作，对项目交付进度、成本以及交付质量等方面负责；提供售中、售后技术支持，保证项目按合同约定成功交付；对客户和合作伙伴进行管理培训工作，整理反馈交付过程中的需求。,工作要求：计算机本科以上相关专业32年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业33年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23048-翻译君AI工程研究员,北京,招聘人数：1人,工作职责：负责NMT翻译引擎及其他AI产品的工程实现，持续优化Inference性能，主要工作包括：基于研究人员输出的NMT算法，进行工程实现，达到线上部署的要求;针对不同的平台（ CPU/GPU等），持续优化NMT翻译引擎解码器的性能;工程实现其他AI算法并进行性能优化;,工作要求：计算机本科以上相关专业34年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业35年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23048-增长工程师,北京,招聘人数：2人,工作职责：负责PC浏览器/腾讯翻译君的用户增长；规划并落实数据上报，确保数据源的质量，并实施系统化的数据管理；通过数据分析和黑客增长的手段实现新渠道的拓展、新用户的激活、用户留存率的提升、以及潜在用户的传播和拉动；构建用户分层模型和流失预测算法，通过精细化运营的手段实现用户活跃度和忠诚度的提升；,工作要求：计算机本科以上相关专业36年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
